barangay,city,province,region,urban_or_rural,population_2020
San Isidro,Lawaan,Eastern Samar,Region VIII (Eastern Visayas),R, 201 
San Eduardo,Oras,Eastern Samar,Region VIII (Eastern Visayas),R," 2,457 "
Tuy-a,Abuyog,Leyte,Region VIII (Eastern Visayas),R, 636 
Bobonon,Alangalang,Leyte,Region VIII (Eastern Visayas),R," 1,008 "
Canomantag,Barugo,Leyte,Region VIII (Eastern Visayas),R, 754 
Bago,Bato,Leyte,Region VIII (Eastern Visayas),R," 1,025 "
Poblacion Zone 3,City of Baybay,Leyte,Region VIII (Eastern Visayas),R, 331 
West Visoria,Carigara,Leyte,Region VIII (Eastern Visayas),R," 1,452 "
Cabato-an,Dulag,Leyte,Region VIII (Eastern Visayas),R," 1,152 "
Sungi ,Dulag,Leyte,Region VIII (Eastern Visayas),R," 1,539 "
Caulisihan,Inopacan,Leyte,Region VIII (Eastern Visayas),R, 343 
Poblacion District 3,La Paz,Leyte,Region VIII (Eastern Visayas),R," 1,287 "
San Salvador,Matalom,Leyte,Region VIII (Eastern Visayas),R," 1,384 "
Mat-e,Merida,Leyte,Region VIII (Eastern Visayas),R, 598 
Cabulihan,Ormoc City,Leyte,Region VIII (Eastern Visayas),R," 2,087 "
Patong,San Miguel,Leyte,Region VIII (Eastern Visayas),R, 561 
Aslum,Tabontabon,Leyte,Region VIII (Eastern Visayas),R, 329 
San Jose,Las Navas,Northern Samar,Region VIII (Eastern Visayas),R, 256 
Layo,Pinabacdao,Samar,Region VIII (Eastern Visayas),R, 248 
Bagolibas,Santa Rita,Samar,Region VIII (Eastern Visayas),R, 694 
Kagingkingan,Anahawan,Southern Leyte,Region VIII (Eastern Visayas),R, 266 
Lungsodaan,Hinundayan,Southern Leyte,Region VIII (Eastern Visayas),R," 1,247 "
Hinapu Gamay,City of Maasin ,Southern Leyte,Region VIII (Eastern Visayas),R, 871 
Balacson,Kawayan,Biliran,Region VIII (Eastern Visayas),R, 888 
Maria Cristina,City of Dapitan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 2,396 "
Matun-og,Bayog,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 470 
Paradise,Ramon Magsaysay,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,090 "
San Juan,San Pablo,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 403 
Maragang,Tigbao,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,810 "
Tampilisan,Kabasalan,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R, 880 
Poblacion,Damulog,Bukidnon,Region X (Northern Mindanao),R," 4,897 "
Macarthur,Dangcagan,Bukidnon,Region X (Northern Mindanao),R," 1,138 "
Calaocalao,Don Carlos,Bukidnon,Region X (Northern Mindanao),R," 2,827 "
Kibatang,Don Carlos,Bukidnon,Region X (Northern Mindanao),R," 2,219 "
West Kibawe ,Kibawe,Bukidnon,Region X (Northern Mindanao),U," 2,665 "
Pendolonan,Lala,Lanao del Norte,Region X (Northern Mindanao),R," 1,238 "
Big Meladoc,Tangcal,Lanao del Norte,Region X (Northern Mindanao),R, 592 
New Casul,Concepcion,Misamis Occidental,Region X (Northern Mindanao),R, 452 
Mahayahay,Lopez Jaena,Misamis Occidental,Region X (Northern Mindanao),R, 300 
Ciriaco C. Pastrano,City of Oroquieta ,Misamis Occidental,Region X (Northern Mindanao),R, 382 
Barangay 7 ,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R, 195 
Mananum Daan,Medina,Misamis Oriental,Region X (Northern Mindanao),R," 1,011 "
Rizal,Bansalan,Davao del Sur,Region XI (Davao Region),R," 3,649 "
Poblacion,Magsaysay,Davao del Sur,Region XI (Davao Region),U," 7,731 "
Aliwagwag,Cateel,Davao Oriental,Region XI (Davao Region),R," 1,340 "
Ilangay,Lupon,Davao Oriental,Region XI (Davao Region),U," 5,903 "
Poblacion,Tulunan,Cotabato,Region XII (SOCCSKSARGEN),U," 7,005 "
Lapuz,Norala,South Cotabato,Region XII (SOCCSKSARGEN),R," 3,163 "
Dumangas Nuevo,Kalamansig,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 2,704 "
Nalilidan,Kalamansig,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 3,872 "
San Juan,Malungon,Sarangani,Region XII (SOCCSKSARGEN),R," 1,495 "
Dilong,Tubo,Abra,Cordillera Administrative Region (CAR),R, 735 
Matabao,Buenavista,Agusan del Norte,Region XIII (Caraga),U," 5,560 "
Maningalao,Las Nieves,Agusan del Norte,Region XIII (Caraga),R," 1,761 "
Perez,Sibagat,Agusan del Sur,Region XIII (Caraga),R," 1,414 "
Sampaguita ,Tagana-An,Surigao del Norte,Region XIII (Caraga),R," 1,018 "
Del Rosario,Tubod,Surigao del Norte,Region XIII (Caraga),R," 1,400 "
Pamaypayan,City of Bislig,Surigao del Sur,Region XIII (Caraga),R," 1,613 "
Magsaysay,Tagbina,Surigao del Sur,Region XIII (Caraga),R, 863 
Montag,Basilisa,Dinagat Islands,Region XIII (Caraga),R," 1,349 "
Ferdinand,Loreto,Dinagat Islands,Region XIII (Caraga),R, 242 
Talub,Balindong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 623 
Miabalawag,Bubong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 612 
Linuk,Madalum,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 947 
Bawang,Madamba,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 506 
Dilausan,Poona Bayabao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 600 
Ramain Proper,Ditsaan-Ramain,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 504 
Moriatao Loksa Datu,Taraka,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,803 "
Supangan,Taraka,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 650 
Manila Group,Wao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,064 "
Su-uh,Old Panamao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 13,732 "
Andalan,Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,669 "
Duhul Batu,Mapun,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,634 "
Bohe,South Ubian,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,179 "
Nalkan,Datu Blah T. Sinsuat,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,330 "
Makat,Datu Paglas,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 835 
Buayan,Datu Salibo,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,541 "
"Bgy. No. 46, Nalbo",City of Laoag ,Ilocos Norte,Region I (Ilocos Region),U," 2,484 "
"Bgy. No. 26, San Marcelino ",City of Laoag ,Ilocos Norte,Region I (Ilocos Region),R, 856 
Aguitap,Solsona,Ilocos Norte,Region I (Ilocos Region),R, 904 
San Jose ,City of Candon,Ilocos Sur,Region I (Ilocos Region),U," 1,811 "
Ambucao,Santiago,Ilocos Sur,Region I (Ilocos Region),R," 1,713 "
Banga,Sugpon,Ilocos Sur,Region I (Ilocos Region),R, 882 
Pudoc East,Tagudin,Ilocos Sur,Region I (Ilocos Region),R," 2,105 "
Cabaroan,Bacnotan,La Union,Region I (Ilocos Region),R," 2,051 "
Calabugao,City of San Fernando ,La Union,Region I (Ilocos Region),R, 404 
Pandan,City of Alaminos,Pangasinan,Region I (Ilocos Region),U," 1,624 "
Pantol,Bayambang,Pangasinan,Region I (Ilocos Region),R," 1,314 "
Lomboy,Binmaley,Pangasinan,Region I (Ilocos Region),R," 3,506 "
Cacayasen,Burgos,Pangasinan,Region I (Ilocos Region),R," 1,709 "
Malacapas,Dasol,Pangasinan,Region I (Ilocos Region),R," 1,253 "
Bacundao Este,Malasiqui,Pangasinan,Region I (Ilocos Region),R," 1,422 "
Bagu,Abulug,Cagayan,Region II (Cagayan Valley),R," 1,998 "
Pinili,Abulug,Cagayan,Region II (Cagayan Valley),R, 741 
Masical,Amulung,Cagayan,Region II (Cagayan Valley),R," 2,040 "
Carupian,Baggao,Cagayan,Region II (Cagayan Valley),R," 1,360 "
Baracaoit,Gattaran,Cagayan,Region II (Cagayan Valley),R," 3,196 "
Alaguia,Lal-Lo,Cagayan,Region II (Cagayan Valley),R," 1,227 "
Dalaya,Lal-Lo,Cagayan,Region II (Cagayan Valley),R," 1,090 "
Centro III ,Angadanan,Isabela,Region II (Cagayan Valley),R," 1,082 "
Aguinaldo,Cordon,Isabela,Region II (Cagayan Valley),R," 1,078 "
Calimaturod,Cordon,Isabela,Region II (Cagayan Valley),R, 451 
San Vicente ,City of Ilagan ,Isabela,Region II (Cagayan Valley),R," 2,214 "
Minanga,San Mariano,Isabela,Region II (Cagayan Valley),R," 4,662 "
Pogonsino,Bagabag,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,913 "
Poblacion,Norzagaray,Bulacan,Region III (Central Luzon),U," 15,265 "
Dicarma ,City of Cabanatuan,Nueva Ecija,Region III (Central Luzon),U," 4,344 "
South Poblacion,Gabaldon,Nueva Ecija,Region III (Central Luzon),R," 4,687 "
Banitan,Guimba,Nueva Ecija,Region III (Central Luzon),R," 1,407 "
San Francisco,Llanera,Nueva Ecija,Region III (Central Luzon),R," 2,229 "
Cabaducan East ,Nampicuan,Nueva Ecija,Region III (Central Luzon),R," 1,707 "
Liwayway,Santa Rosa,Nueva Ecija,Region III (Central Luzon),R," 4,039 "
Barit,Candaba,Pampanga,Region III (Central Luzon),R," 2,743 "
San Miguel,San Simon,Pampanga,Region III (Central Luzon),R," 4,699 "
Anoling 3rd,Camiling,Tarlac,Region III (Central Luzon),R," 1,336 "
Salapungan,Gerona,Tarlac,Region III (Central Luzon),U," 3,050 "
San Roque ,La Paz,Tarlac,Region III (Central Luzon),U," 8,115 "
West Poblacion,Palauig,Zambales,Region III (Central Luzon),R," 1,182 "
Batiawan,Subic,Zambales,Region III (Central Luzon),R," 1,389 "
Santa Cruz,Agoncillo,Batangas,Region IV-A (CALABARZON),R," 1,130 "
Dalipit East,Cuenca,Batangas,Region IV-A (CALABARZON),R, 710 
Latag,City of Lipa,Batangas,Region IV-A (CALABARZON),U," 9,364 "
Sawang,Lobo,Batangas,Region IV-A (CALABARZON),R," 2,139 "
Bolbok,Taal,Batangas,Region IV-A (CALABARZON),R," 1,179 "
Medicion II-D,City of Imus,Cavite,Region IV-A (CALABARZON),R," 1,519 "
Santa Rosa II,Noveleta,Cavite,Region IV-A (CALABARZON),R," 1,235 "
Nicolasa Virata,Gen. Mariano Alvarez,Cavite,Region IV-A (CALABARZON),U," 6,277 "
Paowin,Cavinti,Laguna,Region IV-A (CALABARZON),R, 890 
Maravilla,Magdalena,Laguna,Region IV-A (CALABARZON),R, 687 
Balugohin,Atimonan,Quezon,Region IV-A (CALABARZON),R, 433 
Pinagkamaligan,Calauag,Quezon,Region IV-A (CALABARZON),R," 2,065 "
Barangay 3 ,General Luna,Quezon,Region IV-A (CALABARZON),R, 451 
Balaybalay,Mauban,Quezon,Region IV-A (CALABARZON),R," 2,262 "
Milawid,Panukulan,Quezon,Region IV-A (CALABARZON),R, 830 
Binibitinan,Polillo,Quezon,Region IV-A (CALABARZON),R," 1,134 "
Katimo,Tagkawayan,Quezon,Region IV-A (CALABARZON),R," 1,771 "
San Roque ,Cardona,Rizal,Region IV-A (CALABARZON),R," 3,076 "
Buliasnin,Boac ,Marinduque,MIMAROPA Region,R," 1,457 "
Villa Mendez ,Mogpog,Marinduque,MIMAROPA Region,R, 650 
Cawayan,Bongabong,Oriental Mindoro,MIMAROPA Region,R," 3,273 "
Mabini,Victoria,Oriental Mindoro,MIMAROPA Region,R," 1,032 "
Danawan ,Magsaysay,Palawan,MIMAROPA Region,R, 711 
Bgy. 21 - Binanuahan West ,City of Legazpi ,Albay,Region V (Bicol Region),U, 802 
Pandan,City of Ligao,Albay,Region V (Bicol Region),U," 5,090 "
Matnog,Basud,Camarines Norte,Region V (Bicol Region),R," 3,967 "
North Poblacion,Jose Panganiban,Camarines Norte,Region V (Bicol Region),R," 1,917 "
Dagang,Paracale,Camarines Norte,Region V (Bicol Region),R, 825 
San Vicente,Santa Elena,Camarines Norte,Region V (Bicol Region),R," 1,256 "
San Isidro,City of Iriga,Camarines Sur,Region V (Bicol Region),U," 9,538 "
Concepcion Grande,City of Naga,Camarines Sur,Region V (Bicol Region),U," 11,125 "
Bagong Silang,Pasacao,Camarines Sur,Region V (Bicol Region),R, 550 
Pandan Del Norte ,Pandan,Catanduanes,Region V (Bicol Region),R, 948 
Antipolo Del Sur,Virac ,Catanduanes,Region V (Bicol Region),R, 621 
Cavinitan,Virac ,Catanduanes,Region V (Bicol Region),U," 3,959 "
Guindawahan,Pio V. Corpuz,Masbate,Region V (Bicol Region),R," 2,158 "
Villa Inocencio,Placer,Masbate,Region V (Bicol Region),U," 5,162 "
Arado,Uson,Masbate,Region V (Bicol Region),R, 781 
Lungib,Casiguran,Sorsogon,Region V (Bicol Region),R," 1,589 "
Pinontingan ,Gubat,Sorsogon,Region V (Bicol Region),R," 1,452 "
Lajong,Matnog,Sorsogon,Region V (Bicol Region),R, 634 
Biga-a,Barbaza,Antique,Region VI (Western Visayas),R, 309 
Diclum,Tobias Fornier,Antique,Region VI (Western Visayas),R, 695 
Poblacion 3,Hamtic,Antique,Region VI (Western Visayas),R, 774 
Magsaysay,Patnongon,Antique,Region VI (Western Visayas),R," 1,552 "
Trinidad,San Remigio,Antique,Region VI (Western Visayas),R," 1,149 "
Pangabat,Jamindan,Capiz,Region VI (Western Visayas),R," 1,493 "
Burias,Mambusao,Capiz,Region VI (Western Visayas),R," 4,062 "
Tanque,City of Roxas ,Capiz,Region VI (Western Visayas),U," 5,922 "
Mangorocoro,Ajuy,Iloilo,Region VI (Western Visayas),R," 1,371 "
Pinantan Elizalde,Ajuy,Iloilo,Region VI (Western Visayas),R, 531 
Cagay,Alimodian,Iloilo,Region VI (Western Visayas),R, 821 
Sianon,Badiangan,Iloilo,Region VI (Western Visayas),R," 1,021 "
Drancalan,Batad,Iloilo,Region VI (Western Visayas),R, 430 
Poblacion Zone III,Estancia,Iloilo,Region VI (Western Visayas),R," 1,036 "
Pasong,Igbaras,Iloilo,Region VI (Western Visayas),R, 443 
Ungka I,Pavia,Iloilo,Region VI (Western Visayas),U," 2,514 "
Abaca,San Enrique,Iloilo,Region VI (Western Visayas),R," 2,336 "
Tentay,Sara,Iloilo,Region VI (Western Visayas),R," 1,088 "
Bato,Tubungan,Iloilo,Region VI (Western Visayas),R, 447 
Igpaho,Tubungan,Iloilo,Region VI (Western Visayas),R, 775 
Ayungon,City of La Carlota,Negros Occidental,Region VI (Western Visayas),U," 3,860 "
Roberto S. Benedicto,City of La Carlota,Negros Occidental,Region VI (Western Visayas),U," 4,568 "
Oracon Sur,Nueva Valencia,Guimaras,Region VI (Western Visayas),R," 1,973 "
Canguha,Calape,Bohol,Region VII (Central Visayas),R, 281 
Mariveles,Dauis,Bohol,Region VII (Central Visayas),R," 3,797 "
Salog,Getafe,Bohol,Region VII (Central Visayas),R," 1,313 "
Tambo,Mabini,Bohol,Region VII (Central Visayas),R, 786 
Nueva Estrella,Bien Unido,Bohol,Region VII (Central Visayas),R," 1,818 "
Guiwanon,Argao,Cebu,Region VII (Central Visayas),R," 1,839 "
Lanao,Daanbantayan,Cebu,Region VII (Central Visayas),R," 4,259 "
Tupas,Pinamungajan,Cebu,Region VII (Central Visayas),R, 991 
Ilihan,City of Toledo,Cebu,Region VII (Central Visayas),R," 4,422 "
Mag-alwa,Tuburan,Cebu,Region VII (Central Visayas),R, 658 
Bal-os,Basay,Negros Oriental,Region VII (Central Visayas),R," 4,172 "
Tanglad,Manjuyod,Negros Oriental,Region VII (Central Visayas),R," 1,652 "
Lutay,Tayasan,Negros Oriental,Region VII (Central Visayas),R," 1,207 "
Balayagmanok,Valencia,Negros Oriental,Region VII (Central Visayas),R," 1,472 "
Balud ,Arteche,Eastern Samar,Region VIII (Eastern Visayas),R," 1,563 "
Caisawan,Balangkayan,Eastern Samar,Region VIII (Eastern Visayas),R, 724 
Casuguran,Guiuan,Eastern Samar,Region VIII (Eastern Visayas),R, 964 
Poblacion Ward 9-A,Guiuan,Eastern Samar,Region VIII (Eastern Visayas),R, 568 
Barangay 1 ,Llorente,Eastern Samar,Region VIII (Eastern Visayas),R," 2,465 "
Poblacion District III,Babatngon,Leyte,Region VIII (Eastern Visayas),R," 1,651 "
Busay,Barugo,Leyte,Region VIII (Eastern Visayas),R, 952 
Patag,Burauen,Leyte,Region VIII (Eastern Visayas),R, 346 
Igang,Calubian,Leyte,Region VIII (Eastern Visayas),R, 729 
San Pedro,Jaro,Leyte,Region VIII (Eastern Visayas),R, 369 
Imelda,Allen,Northern Samar,Region VIII (Eastern Visayas),R, 376 
Poponton,Las Navas,Northern Samar,Region VIII (Eastern Visayas),R, 647 
San Isidro,Las Navas,Northern Samar,Region VIII (Eastern Visayas),R," 2,567 "
Barobaybay,Lavezares,Northern Samar,Region VIII (Eastern Visayas),R," 1,246 "
Sawa,Basey,Samar,Region VIII (Eastern Visayas),R," 1,422 "
Begaho,City of Calbayog,Samar,Region VIII (Eastern Visayas),R," 1,550 "
Helino,City of Calbayog,Samar,Region VIII (Eastern Visayas),R, 380 
Malayog,Gandara,Samar,Region VIII (Eastern Visayas),R, 134 
Guinsangaan,Bontoc,Southern Leyte,Region VIII (Eastern Visayas),R, 735 
Sabang,Hinundayan,Southern Leyte,Region VIII (Eastern Visayas),R, 674 
Bongbong,San Francisco,Southern Leyte,Region VIII (Eastern Visayas),R, 761 
San Vicente,San Juan,Southern Leyte,Region VIII (Eastern Visayas),R, 661 
Lapatan,Labason,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,598 "
Lipakan,Salug,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,198 "
Gunyan,Siayan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 2,039 "
Kahayagan West,Aurora,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 846 
Boyugan West,Kumalarang,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 1,732 "
Tulan,Mahayag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 540 
Regla,Guipos,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 976 
Santa Maria,Alicia,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R, 983 
Sagundanon,Kitaotao,Bukidnon,Region X (Northern Mindanao),R," 1,675 "
Cayontor,Kauswagan,Lanao del Norte,Region X (Northern Mindanao),R, 670 
Pigcarangan,Tubod ,Lanao del Norte,Region X (Northern Mindanao),U," 3,667 "
Makawa,Aloran,Misamis Occidental,Region X (Northern Mindanao),R, 904 
Lusot,Baliangao,Misamis Occidental,Region X (Northern Mindanao),R," 1,941 "
Tiaman,Bonifacio,Misamis Occidental,Region X (Northern Mindanao),R," 1,775 "
Bagakay,City of Ozamiz,Misamis Occidental,Region X (Northern Mindanao),U," 4,959 "
Kibuging,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R, 408 
Kalipay,City of Gingoog,Misamis Oriental,Region X (Northern Mindanao),R," 4,309 "
Nanyo,City of Panabo,Davao del Norte,Region XI (Davao Region),R," 3,979 "
Kanaan,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),R," 1,641 "
Nangan,Governor Generoso,Davao Oriental,Region XI (Davao Region),U," 5,168 "
Rizal,Manay,Davao Oriental,Region XI (Davao Region),R," 1,289 "
Buca,Santa Maria,Davao Occidental,Region XI (Davao Region),R," 2,422 "
New Bulatukan,Makilala,Cotabato,Region XII (SOCCSKSARGEN),R," 2,213 "
Inas,M'Lang,Cotabato,Region XII (SOCCSKSARGEN),R," 4,267 "
Paraiso,Tulunan,Cotabato,Region XII (SOCCSKSARGEN),R, 703 
Edwards ,T'Boli,South Cotabato,Region XII (SOCCSKSARGEN),U," 4,328 "
Lambangan,T'Boli,South Cotabato,Region XII (SOCCSKSARGEN),R," 2,470 "
Halilan,Lake Sebu,South Cotabato,Region XII (SOCCSKSARGEN),R," 2,301 "
Palumbi,Lambayong,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 2,644 "
Taloy Norte,Tuba,Benguet,Cordillera Administrative Region (CAR),R," 1,490 "
Cebulan,Esperanza,Agusan del Sur,Region XIII (Caraga),R, 690 
Awa,Prosperidad ,Agusan del Sur,Region XIII (Caraga),R," 2,091 "
Policarpo,San Luis,Agusan del Sur,Region XIII (Caraga),R, 612 
Magallanes,Claver,Surigao del Norte,Region XIII (Caraga),R, 847 
Bitaugan,San Miguel,Surigao del Sur,Region XIII (Caraga),R," 1,354 "
Cabobo,City of Lamitan ,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,157 "
Ulitan,Ungkaya Pukan,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,582 "
Poblacion,Kapai,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 895 
Palao,Marantao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,105 "
Tolali,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,689 "
Cadayonan,Poona Bayabao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,615 "
Salocad,Saguiaran,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 607 
Pindolonan,Calanogas,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 757 
Malungun,Maguing,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,154 "
Cabuntungan,Lumbayanague,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 792 
Bagoaingud,Tagoloan Ii,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 876 
Sionogan,Indanan,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,363 "
Kan-Mindus,Luuk,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,814 "
Bagsak,Parang,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,133 "
Banting,Tapul,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,006 "
Awang,Datu Odin Sinsuat,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 13,595 "
Sambolawan,Sultan Kudarat,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,297 "
Macalag,Datu Hoffer Ampatuan,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,191 "
Tual,Paglat,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,752 "
Santiago,Marcos,Ilocos Norte,Region I (Ilocos Region),R," 1,510 "
Caparispisan,Pagudpud,Ilocos Norte,Region I (Ilocos Region),R, 930 
Naguimba,Banayoyo,Ilocos Sur,Region I (Ilocos Region),R," 1,035 "
Manangat,Caoayan,Ilocos Sur,Region I (Ilocos Region),R, 978 
Pagsanaan Norte,Magsingal,Ilocos Sur,Region I (Ilocos Region),R, 515 
Sagsagat,San Ildefonso,Ilocos Sur,Region I (Ilocos Region),R, 766 
San Isidro,San Juan,Ilocos Sur,Region I (Ilocos Region),R, 825 
San Antonio,Santa Cruz,Ilocos Sur,Region I (Ilocos Region),R, 544 
Santa Rita,Bacnotan,La Union,Region I (Ilocos Region),R, 693 
Butubut Oeste,Balaoan,La Union,Region I (Ilocos Region),R, 583 
Suguidan Sur,Naguilian,La Union,Region I (Ilocos Region),R, 867 
Saytan,Pugo,La Union,Region I (Ilocos Region),R," 1,422 "
Palamis,City of Alaminos,Pangasinan,Region I (Ilocos Region),U," 4,707 "
Dupac,Asingan,Pangasinan,Region I (Ilocos Region),R," 2,372 "
Umando,Malasiqui,Pangasinan,Region I (Ilocos Region),R," 1,505 "
Binday,San Fabian,Pangasinan,Region I (Ilocos Region),R," 2,377 "
Baligayan,San Quintin,Pangasinan,Region I (Ilocos Region),R," 1,062 "
Labit Proper,City of Urdaneta,Pangasinan,Region I (Ilocos Region),R," 3,855 "
Capalutan,Allacapan,Cagayan,Region II (Cagayan Valley),R, 690 
Centro West ,Ballesteros,Cagayan,Region II (Cagayan Valley),R," 2,046 "
Lemu Sur,Enrile,Cagayan,Region II (Cagayan Valley),R, 798 
Mabuno,Gattaran,Cagayan,Region II (Cagayan Valley),R," 3,341 "
Annafunan,Echague,Isabela,Region II (Cagayan Valley),R," 3,216 "
Victoria,Mallig,Isabela,Region II (Cagayan Valley),R," 1,069 "
Besong,Kayapa,Nueva Vizcaya,Region II (Cagayan Valley),R, 962 
Gundaway ,Cabarroguis ,Quirino,Region II (Cagayan Valley),U," 4,465 "
Santo Niño,Dinalupihan,Bataan,Region III (Central Luzon),R," 3,478 "
Cabcaben,Mariveles,Bataan,Region III (Central Luzon),U," 7,665 "
Wawa,Pilar,Bataan,Region III (Central Luzon),R," 2,289 "
Caniogan,Calumpit,Bulacan,Region III (Central Luzon),U," 4,510 "
Poblacion,Guiguinto,Bulacan,Region III (Central Luzon),U," 3,468 "
Dampol,Plaridel,Bulacan,Region III (Central Luzon),R," 3,476 "
Mayapyap Sur,City of Cabanatuan,Nueva Ecija,Region III (Central Luzon),U," 5,904 "
Kabulihan,General Mamerto Natividad,Nueva Ecija,Region III (Central Luzon),R," 2,465 "
Palale,General Tinio,Nueva Ecija,Region III (Central Luzon),R," 1,513 "
San Roque Bitas,Arayat,Pampanga,Region III (Central Luzon),U," 6,389 "
Maasin,Pura,Tarlac,Region III (Central Luzon),R, 722 
Calingcuan,City of Tarlac ,Tarlac,Region III (Central Luzon),R," 3,679 "
San Rafael,San Felipe,Zambales,Region III (Central Luzon),R," 1,167 "
San Rafael,San Marcelino,Zambales,Region III (Central Luzon),R," 2,924 "
Bolbok,Batangas City ,Batangas,Region IV-A (CALABARZON),U," 12,788 "
Tayuman,Lobo,Batangas,Region IV-A (CALABARZON),R," 1,692 "
Balagtasin,San Luis,Batangas,Region IV-A (CALABARZON),R, 573 
Tumaway,Talisay,Batangas,Region IV-A (CALABARZON),R," 3,572 "
Pasong Camachile I,City of General Trias,Cavite,Region IV-A (CALABARZON),U," 21,493 "
Congbalay-Legaspi,Kawit,Cavite,Region IV-A (CALABARZON),R," 4,367 "
Poblacion I B,Maragondon,Cavite,Region IV-A (CALABARZON),R," 1,191 "
Hoyo,Silang,Cavite,Region IV-A (CALABARZON),R," 2,424 "
Perez,Calauan,Laguna,Region IV-A (CALABARZON),R," 3,252 "
Pag-Asa ,Liliw,Laguna,Region IV-A (CALABARZON),R," 1,089 "
Barangay V-D ,City of San Pablo,Laguna,Region IV-A (CALABARZON),R, 269 
Viñas,Calauag,Quezon,Region IV-A (CALABARZON),R," 1,028 "
San Vicente,Mauban,Quezon,Region IV-A (CALABARZON),R, 302 
Layunan ,Binangonan,Rizal,Region IV-A (CALABARZON),U," 2,575 "
Libtangin,Gasan,Marinduque,MIMAROPA Region,R," 1,676 "
